Gender,Age Band,Calories,Salt,Sugar,Fat,Saturated Fat,Calories Standard Deviation
Female,11-14,2175.0,6,27.2,84.6,24.2,136
Female,15-18,2432.0,6,30.4,94.5,27.0,36
Female,19-64,2127.0,6.0,26.7,82.7,23.6,45
Male,11-14,2352.0,6,29.4,91.5,26.1,214
Male,15-18,3005.5,6,37.6,116.9,33.4,147
Male,19-64,2662.4,6.0,33.3,103.5,29.6,92
